"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TPOPPUS","194913","149.2","1","Total Resident Population, United States","Million people"
"TPOPPUS","195013","152.3","1","Total Resident Population, United States","Million people"
"TPOPPUS","195113","154.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","195213","157.6","1","Total Resident Population, United States","Million people"
"TPOPPUS","195313","160.2","1","Total Resident Population, United States","Million people"
"TPOPPUS","195413","163","1","Total Resident Population, United States","Million people"
"TPOPPUS","195513","165.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","195613","168.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","195713","172","1","Total Resident Population, United States","Million people"
"TPOPPUS","195813","174.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","195913","177.8","1","Total Resident Population, United States","Million people"
"TPOPPUS","196013","180.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","196113","183.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","196213","186.5","1","Total Resident Population, United States","Million people"
"TPOPPUS","196313","189.2","1","Total Resident Population, United States","Million people"
"TPOPPUS","196413","191.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","196513","194.3","1","Total Resident Population, United States","Million people"
"TPOPPUS","196613","196.6","1","Total Resident Population, United States","Million people"
"TPOPPUS","196713","198.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","196813","200.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","196913","202.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","197013","205.1","1","Total Resident Population, United States","Million people"
"TPOPPUS","197113","207.7","1","Total Resident Population, United States","Million people"
"TPOPPUS","197213","209.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","197313","211.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","197413","213.9","1","Total Resident Population, United States","Million people"
"TPOPPUS","197513","216","1","Total Resident Population, United States","Million people"
"TPOPPUS","197613","218","1","Total Resident Population, United States","Million people"
"TPOPPUS","197713","220.2","1","Total Resident Population, United States","Million people"
