YYYYMM,Value,Column_Order,Description,Unit
197313,1220.645,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197413,1199.284,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197513,1195.032,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197613,1281.173,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197713,1315.721,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197813,1314.183,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197913,1427.458,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198013,1453.794,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198113,1502.932,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198213,1449.085,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198313,1504.796,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198413,1616.103,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198513,1655.025,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198613,1635.733,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198713,1709.484,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198813,1792.727,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198913,1813.144,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199013,1820.023,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199113,1805.942,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199213,1821.88,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199313,1881.678,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199413,1892.225,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199513,1912.143,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199613,1994.532,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199713,2038.849,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199813,2063.633,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
199913,2061.623,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200013,2154.743,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200113,2087.256,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200213,2092.877,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200313,2133.921,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200413,2158.366,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200513,2180.146,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200613,2146.009,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200713,2171.295,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200813,2138.693,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
200913,1875.16,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201013,1985.939,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201113,1875.601,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201213,1657.873,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201313,1717.845,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201413,1713.367,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201513,1481.898,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201613,1355.2,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201713,1317.952,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201813,1262.555,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
201913,1077.52,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
202013,875.01,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197313,1174.859,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197413,1134.215,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197513,1042.504,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197613,1062.805,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197713,1041.058,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197813,1045.228,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
197913,1080.485,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198013,1058.054,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198113,1032.089,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198213,960.901,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198313,901.094,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198413,962.252,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198513,926.516,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
198613,867.866,2,"Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Million Metric Tons of Carbon Dioxide
