YYYYMM,Value,Column_Order,Description,Unit
194913,5599.404,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195013,5988.744,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195113,6380.397,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195213,6560.456,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195313,6558.982,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195413,6846.306,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195513,7278.249,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195613,7663.006,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195713,7712.289,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195813,8200.985,2,Total Energy Consumed by the Residential Sector,Trillion Btu
195913,8412.235,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196013,9039.816,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196113,9286.431,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196213,9782.865,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196313,9988.955,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196413,10241.058,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196513,10639.89,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196613,11169.166,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196713,11639.868,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196813,12336.928,2,Total Energy Consumed by the Residential Sector,Trillion Btu
196913,13169.881,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197013,13766.472,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197113,14246.925,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197213,14857.828,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197313,14898.094,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197413,14655.022,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197513,14814.067,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197613,15410.953,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197713,15662.391,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197813,16132.944,2,Total Energy Consumed by the Residential Sector,Trillion Btu
197913,15813.167,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198013,15753.786,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198113,15261.934,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198213,15531.314,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198313,15425.469,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198413,15959.927,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198513,16041.743,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198613,15975.51,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198713,16263.66,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198813,17133.058,2,Total Energy Consumed by the Residential Sector,Trillion Btu
198913,17790.213,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199013,16940.519,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199113,17419.82,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199213,17355.252,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199313,18212.1,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199413,18110.761,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199513,18517.171,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199613,19502.447,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199713,18962.848,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199813,18952.471,2,Total Energy Consumed by the Residential Sector,Trillion Btu
199913,19554.197,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200013,20421.765,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200113,20038.277,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200213,20786.494,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200313,21120.03,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200413,21082.055,2,Total Energy Consumed by the Residential Sector,Trillion Btu
200513,21613.315,2,Total Energy Consumed by the Residential Sector,Trillion Btu
