YYYYMM,YYYY,Value,Column_Order,Description,Unit
194913,1949,149.2,1,Total U.S. Population,Million people
195013,1950,152.3,1,Total U.S. Population,Million people
195113,1951,154.9,1,Total U.S. Population,Million people
195213,1952,157.6,1,Total U.S. Population,Million people
195313,1953,160.2,1,Total U.S. Population,Million people
195413,1954,163,1,Total U.S. Population,Million people
195513,1955,165.9,1,Total U.S. Population,Million people
195613,1956,168.9,1,Total U.S. Population,Million people
195713,1957,172,1,Total U.S. Population,Million people
195813,1958,174.9,1,Total U.S. Population,Million people
195913,1959,177.8,1,Total U.S. Population,Million people
196013,1960,180.7,1,Total U.S. Population,Million people
196113,1961,183.7,1,Total U.S. Population,Million people
196213,1962,186.5,1,Total U.S. Population,Million people
196313,1963,189.2,1,Total U.S. Population,Million people
196413,1964,191.9,1,Total U.S. Population,Million people
196513,1965,194.3,1,Total U.S. Population,Million people
196613,1966,196.6,1,Total U.S. Population,Million people
196713,1967,198.7,1,Total U.S. Population,Million people
196813,1968,200.7,1,Total U.S. Population,Million people
196913,1969,202.7,1,Total U.S. Population,Million people
197013,1970,205.1,1,Total U.S. Population,Million people
197113,1971,207.7,1,Total U.S. Population,Million people
197213,1972,209.9,1,Total U.S. Population,Million people
197313,1973,211.9,1,Total U.S. Population,Million people
197413,1974,213.9,1,Total U.S. Population,Million people
197513,1975,216,1,Total U.S. Population,Million people
197613,1976,218,1,Total U.S. Population,Million people
197713,1977,220.2,1,Total U.S. Population,Million people
197813,1978,222.6,1,Total U.S. Population,Million people
197913,1979,225.1,1,Total U.S. Population,Million people
198013,1980,227.2,1,Total U.S. Population,Million people
198113,1981,229.5,1,Total U.S. Population,Million people
198213,1982,231.7,1,Total U.S. Population,Million people
198313,1983,233.8,1,Total U.S. Population,Million people
198413,1984,235.8,1,Total U.S. Population,Million people
198513,1985,237.9,1,Total U.S. Population,Million people
198613,1986,240.1,1,Total U.S. Population,Million people
198713,1987,242.3,1,Total U.S. Population,Million people
198813,1988,244.5,1,Total U.S. Population,Million people
198913,1989,246.8,1,Total U.S. Population,Million people
199013,1990,249.6,1,Total U.S. Population,Million people
199113,1991,253,1,Total U.S. Population,Million people
199213,1992,256.5,1,Total U.S. Population,Million people
199313,1993,259.9,1,Total U.S. Population,Million people
199413,1994,263.1,1,Total U.S. Population,Million people
199513,1995,266.3,1,Total U.S. Population,Million people
199613,1996,269.4,1,Total U.S. Population,Million people
199713,1997,272.6,1,Total U.S. Population,Million people
199813,1998,275.9,1,Total U.S. Population,Million people
199913,1999,279,1,Total U.S. Population,Million people
200013,2000,282.2,1,Total U.S. Population,Million people
200113,2001,285,1,Total U.S. Population,Million people
200213,2002,287.6,1,Total U.S. Population,Million people
200313,2003,290.1,1,Total U.S. Population,Million people
200413,2004,292.8,1,Total U.S. Population,Million people
200513,2005,295.5,1,Total U.S. Population,Million people
200613,2006,298.4,1,Total U.S. Population,Million people
200713,2007,301.2,1,Total U.S. Population,Million people
200813,2008,304.1,1,Total U.S. Population,Million people
200913,2009,306.8,1,Total U.S. Population,Million people
201013,2010,309.3,1,Total U.S. Population,Million people
201113,2011,311.6,1,Total U.S. Population,Million people
201213,2012,313.9,1,Total U.S. Population,Million people
201313,2013,316.1,1,Total U.S. Population,Million people
201413,2014,318.4,1,Total U.S. Population,Million people
201513,2015,320.7,1,Total U.S. Population,Million people
201613,2016,323.1,1,Total U.S. Population,Million people
201713,2017,325.1,1,Total U.S. Population,Million people
201813,2018,326.8,1,Total U.S. Population,Million people
201913,2019,328.3,1,Total U.S. Population,Million people
202013,2020,329.5,1,Total U.S. Population,Million people
